FILIAL,PEDIDO,TIPO DE VENDA,EMISSAO,FATURA,FAMÍLIA,PRODUTO,QTDE,PREÇO,PRAZO,FRETE;;;;;;;;;;;;;;476.847.531;253.443.870;223.403.661
"PR,947032,Venda Estoque,1/5/2016,1/5/2016,PEAD,DMDD6620 NT7,""2,750"",6.4583,14/21/28/35/42 DI,CIF";;;;;;;;;;;;;;;;
"PR,946480,Venda Estoque,1/4/2016,1/5/2016,PEAD,IP10262,""1,375"",7.3300,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,947333,Venda Estoque,1/5/2016,1/5/2016,PEAD,IP40,25,8.0500,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
"SP,947249,Venda Estoque,1/5/2016,1/5/2016,PEAD,NG6995,""4,125"",6.5104,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
PR,947028,Venda Estoque,1/5/2016,1/5/2016,PEAD,NG6995,500,7.2159,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
"SP,947250,Venda Estoque,1/5/2016,1/5/2016,PEAD,NG6995,""2,750"",6.5104,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,947249,Venda Estoque,1/5/2016,1/5/2016,PEBD,132I,""1,375"",7.0313,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SC,946811,Venda Estoque,1/4/2016,1/5/2016,PEBD,132I,""2,750"",7.1354,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,945804,Venda Estoque,12/29/2015,1/5/2016,PEBD,132I,550,8.3000,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
"SP,947250,Venda Estoque,1/5/2016,1/5/2016,PEBD,132I,""1,375"",7.0313,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,947172,Venda Estoque,1/5/2016,1/5/2016,PEBD,220M,""1,375"",7.7841,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,947173,Venda Estoque,1/5/2016,1/5/2016,PEBD,220M,""1,375"",7.7841,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,947249,Venda Estoque,1/5/2016,1/5/2016,PEBD,586A,""2,750"",7.0313,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,947250,Venda Estoque,1/5/2016,1/5/2016,PEBD,586A,""5,500"",7.0313,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,947052,Venda Estoque,1/5/2016,1/5/2016,PEBD,955I,200,8.4756,35 DIAS LIQUIDOS,CIF;;;;;;;;;;;;;;;;
SP,947333,Venda Estoque,1/5/2016,1/5/2016,PEBD,955I,25,8.1500,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
PR,947028,Venda Estoque,1/5/2016,1/5/2016,PELBD,2645.11G,500,7.3295,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
"PR,946784,Venda Estoque,1/4/2016,1/5/2016,PELBD,2645.11G,""4,500"",7.1300,A VISTA,CIF";;;;;;;;;;;;;;;;
"SP,946891,Venda Estoque,1/4/2016,1/5/2016,PELBD,DFDA-7059 NT,""4,125"",7.7439,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"PR,946769,Venda Estoque,1/4/2016,1/5/2016,PELBD,DFDC-7080 NT,""1,375"",7.2159,31/38/45 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,947250,Venda Estoque,1/5/2016,1/5/2016,PELBD,DFDC-7080 NT,""4,125"",6.5104,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,947054,Venda Estoque,1/5/2016,1/5/2016,PELBD,IP-20,500,7.5000,28 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
"SP,947183,Venda Estoque,1/5/2016,1/5/2016,PP HOMO,KYD6110,""2,750"",7.0856,A VISTA,CIF";;;;;;;;;;;;;;;;
"SP,947191,Venda Estoque,1/5/2016,1/5/2016,PP HOMO,RFD6140K,""2,750"",7.2952,A VISTA,CIF";;;;;;;;;;;;;;;;
PR,947025,Venda Estoque,1/5/2016,1/5/2016,PP HOMO,XSD6200T,300,7.7840,A VISTA,FOB;;;;;;;;;;;;;;;;
PR,942270,Venda Estoque,12/15/2015,1/5/2016,PS A/I,U8878,50,7.2159,28 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,947288,Venda Estoque,1/5/2016,1/5/2016,PS A/I,U8878,100,7.9800,28 DIAS LIQUIDOS,CIF;;;;;;;;;;;;;;;;
"PR,947024,Venda Estoque,1/5/2016,1/5/2016,PS CRISTAL,U249,""1,375"",6.9318,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
PR,942270,Venda Estoque,12/15/2015,1/5/2016,PS CRISTAL,U249,150,7.0455,28 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,943809,Venda Estoque,12/18/2015,1/5/2016,WC,CS K3364 NT,635,9.5100,35 DIAS LIQUIDOS,CIF;;;;;;;;;;;;;;;;
"SP,947053,Venda Estoque,1/5/2016,1/5/2016,WC,DFDC0588BK,""11,780"",8.9024,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
"SP,947565,Venda Estoque,1/6/2016,1/6/2016,PELBD,2038.68-G,""13,750"",5.9375,28/35/42 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
"PR,945169,Venda Estoque,12/23/2015,1/6/2016,PELBD,2038.68-G,""7,500"",6.0417,28 DIAS LIQUIDOS,CIF";;;;;;;;;;;;;;;;
"PR,947532,Venda Estoque,1/6/2016,1/6/2016,PELBD,2038.68-G,""1,375"",6.1980,21/28/35 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
PR,947567,Venda Estoque,1/6/2016,1/6/2016,PELBD,2038.68-G,200,6.0938,A VISTA,FOB;;;;;;;;;;;;;;;;
"PR,947567,Venda Estoque,1/6/2016,1/6/2016,PELBD,2045G,""1,500"",6.7810,A VISTA,FOB";;;;;;;;;;;;;;;;
"SP,947565,Venda Estoque,1/6/2016,1/6/2016,PELBD,NG5056.01G,""2,750"",6.7188,28/35/42 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
SP,947553,Venda Estoque,1/6/2016,1/6/2016,ETP,A218 PR651,25,22.1500,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947553,Venda Estoque,1/6/2016,1/6/2016,ETP,A218 V15 PR5,250,20.8000,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947554,Venda Estoque,1/6/2016,1/6/2016,ETP,A221 NAT,250,21.8000,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
"SP,947611,Venda Estoque,1/6/2016,1/6/2016,ETP,C216 V15 NAT,""1,000"",15.3300,28/35/42 DIAS LIQ,FOB";;;;;;;;;;;;;;;;
SP,947613,Venda Estoque,1/6/2016,1/6/2016,ETP,NEX 2002,50,16.1500,A VISTA,FOB;;;;;;;;;;;;;;;;
SP,947758,Venda Estoque,1/6/2016,1/6/2016,ETP,NEX 3300,50,16.6500,A VISTA,FOB;;;;;;;;;;;;;;;;
SP,947543,Venda Estoque,1/6/2016,1/6/2016,ETP,GP22 NR,175,9.4600,28/35/42 DIAS LIQ,FOB;;;;;;;;;;;;;;;;
SP,947585,Venda Estoque,1/6/2016,1/6/2016,ETP,GP22 NR,200,9.9500,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
"SP,947793,Venda Estoque,1/6/2016,1/6/2016,ETP,GP35 NR,""2,000"",9.7200,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
SP,947585,Venda Estoque,1/6/2016,1/6/2016,ETP,GP35 NR,200,9.9500,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,943763,Venda Estoque,12/18/2015,1/6/2016,ETP,GP35 NR,100,9.8400,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947585,Venda Estoque,1/6/2016,1/6/2016,ETP,GP35 PR,100,10.9900,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,943763,Venda Estoque,12/18/2015,1/6/2016,ETP,GP35 PR,700,10.8900,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
SP,947540,Venda Estoque,1/6/2016,1/6/2016,ETP,KP20 NAT,500,9.9500,28/35 DIAS LIQUID,CIF;;;;;;;;;;;;;;;;
"RS,947525,Venda Estoque,1/6/2016,1/6/2016,ETP,KP30 NAT IMP,""1,000"",9.4400,28/35/42 DIAS LIQ,CIF";;;;;;;;;;;;;;;;
PR,947763,Venda Estoque,1/6/2016,1/6/2016,ETP,STAR A205F N,50,17.3864,35 DIAS LIQUIDOS,FOB;;;;;;;;;;;;;;;;
SP,947712,Venda Estoque,1/6/2016,1/6/2016,ETP,STAR A205F N,300,18.5000,28/35/42 DIAS LIQ,CIF;;;;;;;;;;;;;;;;
"PR,946500,Venda Estoque,1/4/2016,1/6/2016,FINGER,DFDC-7525,""11,000"",7.1875,28/35/42/49 DIAS,CIF";;;;;;;;;;;;;;;;
